latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
55.92267,-3.1288147,69.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),relative_humidity_2m (%),pressure_msl (hPa),precipitation (mm),cloud_cover (%),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_temperature_7_to_28cm (°C),soil_moisture_7_to_28cm (m³/m³),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),soil_temperature_100_to_255cm (°C),soil_moisture_100_to_255cm (m³/m³),wind_speed_10m (m/s),wind_direction_10m (°),sunshine_duration (s)
2023-01-01T00:00,4.0,2.4,89,996.9,0.20,100,3.5,0.320,4.3,0.316,5.6,0.309,8.1,0.262,5.12,73,0.00
2023-01-01T01:00,4.2,2.7,90,996.6,0.90,100,3.6,0.324,4.3,0.316,5.6,0.309,8.1,0.262,4.87,71,0.00
2023-01-01T02:00,4.4,2.9,90,995.6,0.80,100,3.7,0.328,4.3,0.317,5.6,0.309,8.1,0.262,4.49,69,0.00
2023-01-01T03:00,4.6,3.4,92,995.4,0.90,100,3.8,0.331,4.3,0.319,5.6,0.309,8.1,0.262,5.19,65,0.00
2023-01-01T04:00,5.0,3.9,92,995.3,1.10,100,4.0,0.335,4.3,0.321,5.6,0.309,8.1,0.262,5.55,56,0.00
2023-01-01T05:00,5.0,3.9,93,995.6,0.70,100,4.2,0.334,4.3,0.323,5.6,0.310,8.1,0.262,5.09,47,0.00
2023-01-01T06:00,4.6,3.6,93,996.3,0.30,100,4.2,0.329,4.3,0.324,5.6,0.310,8.0,0.262,4.39,43,0.00
2023-01-01T07:00,4.6,3.6,94,997.0,0.10,100,4.1,0.324,4.3,0.324,5.6,0.310,8.0,0.263,3.62,39,0.00
2023-01-01T08:00,4.6,3.7,94,997.6,0.20,100,4.2,0.321,4.3,0.323,5.5,0.310,8.0,0.263,2.44,35,0.00
2023-01-01T09:00,4.9,3.6,91,998.4,0.10,100,4.1,0.318,4.4,0.323,5.5,0.310,8.0,0.263,0.50,360,0.00
2023-01-01T10:00,4.6,3.8,95,999.0,0.10,100,4.2,0.315,4.4,0.322,5.5,0.311,8.0,0.263,0.81,277,0.00
2023-01-01T11:00,4.6,3.9,95,999.3,0.40,100,4.3,0.317,4.4,0.322,5.5,0.311,8.0,0.263,1.04,287,0.00
2023-01-01T12:00,5.4,3.6,88,999.2,0.30,100,4.6,0.303,4.4,0.315,5.5,0.311,8.0,0.263,3.34,231,0.00
2023-01-01T13:00,5.3,3.6,89,999.5,0.00,100,4.7,0.301,4.4,0.314,5.5,0.311,8.0,0.263,2.82,253,0.00
