latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.142353,-0.16159058,58.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),relative_humidity_2m (%),pressure_msl (hPa),precipitation (mm),cloud_cover (%),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_temperature_7_to_28cm (°C),soil_moisture_7_to_28cm (m³/m³),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),soil_temperature_100_to_255cm (°C),soil_moisture_100_to_255cm (m³/m³),wind_speed_10m (m/s),wind_direction_10m (°),sunshine_duration (s)
2023-01-01T00:00,11.4,10.7,95,1004.3,0.00,100,10.9,0.429,10.0,0.429,8.4,0.421,10.7,0.363,9.62,225,0.00
2023-01-01T01:00,11.5,9.6,88,1005.1,0.10,100,10.7,0.427,10.1,0.428,8.4,0.421,10.7,0.363,8.85,228,0.00
2023-01-01T02:00,10.7,8.0,83,1005.9,0.00,100,10.2,0.424,10.1,0.427,8.4,0.422,10.7,0.363,8.92,233,0.00
2023-01-01T03:00,10.4,7.3,81,1006.8,0.00,100,9.9,0.423,10.0,0.426,8.4,0.422,10.7,0.363,8.78,228,0.00
2023-01-01T04:00,10.1,6.9,81,1007.3,0.00,100,9.7,0.422,10.0,0.426,8.4,0.422,10.7,0.363,8.27,225,0.00
2023-01-01T05:00,9.9,7.1,83,1007.9,0.00,100,9.5,0.421,9.9,0.425,8.5,0.422,10.7,0.364,8.63,227,0.00
2023-01-01T06:00,10.0,7.1,82,1008.6,0.00,100,9.5,0.420,9.8,0.424,8.5,0.422,10.6,0.364,8.07,227,0.00
2023-01-01T07:00,9.9,6.9,81,1009.5,0.00,97,9.4,0.419,9.8,0.424,8.5,0.421,10.6,0.364,7.42,226,0.00
2023-01-01T08:00,9.9,6.6,80,1010.2,0.00,100,9.3,0.418,9.7,0.423,8.5,0.421,10.6,0.364,7.43,222,0.00
2023-01-01T09:00,10.0,6.8,81,1011.0,0.00,100,9.3,0.418,9.7,0.423,8.5,0.421,10.6,0.364,7.25,219,0.00
2023-01-01T10:00,10.6,7.6,82,1011.1,0.00,100,9.5,0.417,9.6,0.422,8.5,0.421,10.6,0.364,7.06,218,0.00
2023-01-01T11:00,11.1,8.0,81,1011.2,0.00,100,9.8,0.416,9.6,0.421,8.5,0.421,10.6,0.364,7.05,215,1417.09
2023-01-01T12:00,10.8,8.6,86,1010.9,0.10,100,9.7,0.415,9.5,0.419,8.5,0.420,10.6,0.364,6.57,206,801.08
2023-01-01T13:00,10.7,8.0,84,1010.8,0.40,100,9.9,0.417,9.5,0.418,8.6,0.420,10.6,0.365,7.65,209,0.00
2023-01-01T14:00,10.4,8.3,87,1010.4,0.30,100,9.8,0.418,9.5,0.418,8.6,0.420,10.6,0.365,5.82,204,0.00
2023-01-01T15:00,10.3,8.1,86,1009.8,0.30,100,9.7,0.418,9.5,0.418,8.6,0.420,10.6,0.365,5.64,205,0.00
2023-01-01T16:00,9.9,8.9,93,1009.8,0.30,100,9.6,0.420,9.5,0.418,8.6,0.420,10.6,0.365,4.96,208,0.00
