latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.48910522,23.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),relative_humidity_2m (%),pressure_msl (hPa),precipitation (mm),cloud_cover (%),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_temperature_7_to_28cm (°C),soil_moisture_7_to_28cm (m³/m³),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),soil_temperature_100_to_255cm (°C),soil_moisture_100_to_255cm (m³/m³),wind_speed_10m (m/s),wind_direction_10m (°),sunshine_duration (s)
2023-01-01T00:00,10.6,9.5,93,1003.0,0.20,100,10.6,0.416,9.8,0.419,8.2,0.393,10.5,0.337,4.98,232,0.00
2023-01-01T01:00,11.4,8.9,85,1003.5,0.10,100,10.3,0.415,9.8,0.419,8.2,0.394,10.5,0.337,7.92,226,0.00
2023-01-01T02:00,10.6,7.5,81,1004.5,0.00,100,9.9,0.413,9.8,0.419,8.2,0.394,10.5,0.337,7.86,228,0.00
2023-01-01T03:00,10.1,6.7,79,1005.4,0.00,100,9.6,0.412,9.8,0.418,8.2,0.394,10.5,0.337,7.65,228,0.00
2023-01-01T04:00,10.0,6.3,78,1005.9,0.00,100,9.4,0.410,9.7,0.418,8.2,0.394,10.5,0.337,7.14,223,0.00
2023-01-01T05:00,9.8,6.5,80,1006.7,0.00,100,9.2,0.409,9.7,0.417,8.3,0.394,10.5,0.337,7.02,221,0.00
2023-01-01T06:00,9.6,6.3,80,1007.2,0.00,100,9.1,0.408,9.6,0.417,8.3,0.394,10.5,0.337,6.67,220,0.00
2023-01-01T07:00,9.7,5.9,77,1008.1,0.00,100,9.0,0.407,9.5,0.416,8.3,0.395,10.5,0.337,6.50,217,0.00
2023-01-01T08:00,9.6,5.6,76,1008.8,0.00,100,8.9,0.406,9.4,0.416,8.3,0.395,10.5,0.337,6.50,217,0.00
2023-01-01T09:00,10.0,5.4,73,1009.5,0.00,100,9.0,0.405,9.4,0.415,8.3,0.395,10.4,0.337,6.41,214,0.00
2023-01-01T10:00,10.6,5.8,72,1009.8,0.00,100,9.2,0.404,9.3,0.414,8.3,0.395,10.4,0.337,6.59,210,0.00
2023-01-01T11:00,11.2,6.6,73,1009.9,0.00,100,9.5,0.403,9.3,0.414,8.3,0.395,10.4,0.337,6.77,211,412.34
2023-01-01T12:00,11.4,7.6,77,1009.7,0.00,100,9.8,0.401,9.3,0.413,8.4,0.395,10.4,0.337,5.72,207,2950.20
2023-01-01T13:00,11.4,7.7,78,1009.7,0.00,100,10.1,0.401,9.4,0.413,8.4,0.395,10.4,0.337,6.44,208,1972.13
2023-01-01T14:00,10.9,7.7,81,1009.4,0.20,100,10.1,0.401,9.4,0.412,8.4,0.395,10.4,0.337,5.83,202,0.00
2023-01-01T15:00,10.4,7.8,84,1009.0,0.10,100,10.0,0.402,9.4,0.412,8.4,0.395,10.4,0.337,4.59,200,0.00
2023-01-01T16:00,9.7,7.9,89,1009.1,0.80,100,9.6,0.408,9.4,0.411,8.4,0.395,10.4,0.337,3.81,210,0.00
2023-01-01T17:00,9.6,8.0,90,1008.9,0.50,100,9.3,0.414,9.4,0.411,8.4,0.396,10.4,0.337,3.55,202,0.00
2023-01-01T18:00,9.4,8.0,91,1008.6,1.00,100,9.1,0.424,9.4,0.412,8.4,0.396,10.4,0.337,3.01,201,0.00
2023-01-01T19:00,9.1,7.9,92,1008.8,0.60,100,9.0,0.427,9.3,0.413,8.4,0.396,10.4,0.337,2.19,204,0.00
2023-01-01T20:00,8.8,7.7,93,1008.4,0.40,100,8.8,0.426,9.3,0.414,8.4,0.396,10.4,0.337,1.52,203,0.00
2023-01-01T21:00,8.6,7.6,94,1008.4,0.70,100,8.6,0.430,9.2,0.415,8.5,0.396,10.4,0.337,1.64,232,0.00
2023-01-01T22:00,8.4,7.6,95,1008.5,0.50,100,8.5,0.429,9.1,0.417,8.5,0.396,10.4,0.337,1.12,243,0.00
2023-01-01T23:00,8.3,7.4,94,1008.7,0.30,100,8.4,0.427,9.1,0.418,8.5,0.396,10.4,0.337,1.80,214,0.00
2023-01-02T00:00,7.5,6.1,91,1009.2,0.00,100,7.2,0.416,9.0,0.412,8.5,0.396,10.4,0.337,1.84,225,0.00
2023-01-02T01:00,7.1,5.9,92,1009.3,0.00,100,7.3,0.414,8.8,0.412,8.5,0.396,10.4,0.338,2.30,214,0.00
2023-01-02T02:00,6.3,5.2,93,1009.9,0.00,97,6.9,0.412,8.7,0.412,8.5,0.396,10.4,0.338,2.69,211,0.00
2023-01-02T03:00,6.7,5.5,92,1010.4,0.00,100,6.8,0.411,8.6,0.411,8.5,0.396,10.4,0.338,3.33,213,0.00
2023-01-02T04:00,7.1,5.7,91,1010.7,0.90,100,6.9,0.422,8.4,0.411,8.5,0.396,10.4,0.338,3.47,226,0.00
2023-01-02T05:00,7.1,6.0,92,1011.1,0.20,100,7.0,0.421,8.3,0.412,8.5,0.396,10.4,0.338,2.55,225,0.00
2023-01-02T06:00,6.9,6.0,94,1011.8,0.00,100,6.9,0.418,8.2,0.412,8.5,0.396,10.4,0.338,3.04,226,0.00
2023-01-02T07:00,6.6,5.8,95,1012.6,0.00,92,6.8,0.416,8.1,0.413,8.5,0.397,10.4,0.338,3.09,245,0.00
2023-01-02T08:00,5.9,5.3,96,1013.6,0.00,100,6.4,0.414,8.0,0.413,8.5,0.397,10.4,0.338,2.55,259,0.00
2023-01-02T09:00,6.4,5.6,95,1014.9,0.00,95,6.5,0.412,7.9,0.412,8.5,0.397,10.4,0.338,2.50,270,0.00
2023-01-02T10:00,7.1,5.9,92,1016.1,0.00,96,6.9,0.411,7.8,0.412,8.5,0.397,10.4,0.338,2.83,278,3600.00
2023-01-02T11:00,7.3,5.4,88,1017.1,0.00,36,7.3,0.409,7.8,0.412,8.5,0.397,10.4,0.338,2.86,295,3600.00
2023-01-02T12:00,7.7,5.3,85,1017.8,0.00,40,7.9,0.397,7.7,0.407,8.5,0.396,10.4,0.338,2.45,282,3600.00
2023-01-02T13:00,7.9,4.8,81,1018.6,0.00,1,8.1,0.396,7.7,0.407,8.5,0.396,10.4,0.338,2.65,281,3600.00
