latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.056236,1.1580882,19.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),relative_humidity_2m (%),pressure_msl (hPa),precipitation (mm),cloud_cover (%),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_temperature_7_to_28cm (°C),soil_moisture_7_to_28cm (m³/m³),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),soil_temperature_100_to_255cm (°C),soil_moisture_100_to_255cm (m³/m³),wind_speed_10m (m/s),wind_direction_10m (°),sunshine_duration (s)
2023-01-01T00:00,12.0,9.0,82,1002.5,0.20,100,10.6,0.414,9.7,0.398,8.0,0.384,10.5,0.330,6.59,229,0.00
2023-01-01T01:00,11.3,9.6,90,1002.8,3.60,100,10.4,0.439,9.8,0.402,8.0,0.384,10.5,0.330,4.70,232,0.00
2023-01-01T02:00,11.5,9.6,88,1003.4,1.20,100,10.3,0.430,9.8,0.410,8.1,0.384,10.5,0.330,6.66,229,0.00
2023-01-01T03:00,11.1,8.2,82,1004.4,0.00,100,10.0,0.424,9.8,0.412,8.1,0.384,10.5,0.330,8.68,232,0.00
2023-01-01T04:00,10.4,7.0,80,1005.3,0.00,100,9.7,0.420,9.7,0.412,8.1,0.385,10.5,0.330,8.32,231,0.00
2023-01-01T05:00,10.0,6.4,79,1006.0,0.00,100,9.4,0.417,9.7,0.412,8.1,0.385,10.5,0.330,7.72,228,0.00
2023-01-01T06:00,9.8,6.2,78,1006.7,0.00,98,9.2,0.415,9.6,0.412,8.1,0.385,10.5,0.330,7.71,226,0.00
2023-01-01T07:00,9.7,6.4,80,1007.8,0.00,100,9.1,0.413,9.5,0.412,8.1,0.385,10.5,0.330,7.78,223,0.00
2023-01-01T08:00,9.6,5.8,77,1008.3,0.00,100,9.0,0.411,9.5,0.412,8.1,0.385,10.5,0.330,7.50,224,0.00
2023-01-01T09:00,9.8,5.8,76,1009.4,0.00,100,9.0,0.410,9.4,0.412,8.2,0.385,10.5,0.330,7.36,223,0.00
2023-01-01T10:00,10.4,5.9,74,1009.9,0.00,100,9.2,0.408,9.4,0.411,8.2,0.385,10.5,0.330,7.26,218,0.00
2023-01-01T11:00,11.0,6.1,72,1010.0,0.00,100,9.5,0.407,9.3,0.411,8.2,0.386,10.5,0.330,6.91,214,1977.01
2023-01-01T12:00,11.5,7.9,79,1009.9,0.00,100,9.5,0.404,9.4,0.405,8.2,0.385,10.4,0.330,5.74,203,0.00
2023-01-01T13:00,11.3,7.5,77,1010.1,0.00,100,9.9,0.403,9.4,0.404,8.2,0.385,10.4,0.330,6.26,205,1784.72
2023-01-01T14:00,11.2,7.7,79,1009.9,0.00,100,10.0,0.402,9.4,0.404,8.2,0.385,10.4,0.330,5.91,204,0.00
2023-01-01T15:00,10.9,7.7,81,1009.7,0.00,100,10.0,0.401,9.4,0.404,8.2,0.385,10.4,0.330,5.69,204,0.00
2023-01-01T16:00,10.5,7.6,82,1009.5,0.00,100,9.9,0.400,9.4,0.404,8.3,0.385,10.4,0.330,4.79,203,0.00
2023-01-01T17:00,10.2,7.9,86,1009.6,0.10,100,9.7,0.400,9.4,0.403,8.3,0.385,10.4,0.331,4.46,200,0.00
2023-01-01T18:00,9.9,8.1,89,1009.2,0.50,100,9.5,0.403,9.4,0.403,8.3,0.385,10.4,0.331,3.98,198,0.00
2023-01-01T19:00,9.6,8.4,92,1009.4,0.80,100,9.3,0.411,9.4,0.403,8.3,0.385,10.4,0.331,2.87,209,0.00
2023-01-01T20:00,9.4,8.2,92,1009.2,0.80,100,9.1,0.419,9.4,0.404,8.3,0.385,10.4,0.331,1.49,222,0.00
2023-01-01T21:00,8.9,8.1,94,1008.3,0.40,100,8.9,0.421,9.3,0.405,8.3,0.385,10.4,0.331,0.32,108,0.00
2023-01-01T22:00,8.8,8.2,96,1008.5,0.20,100,8.8,0.419,9.2,0.406,8.3,0.385,10.4,0.331,0.94,148,0.00
2023-01-01T23:00,8.5,8.2,98,1008.2,0.30,100,8.7,0.419,9.2,0.406,8.3,0.386,10.4,0.331,1.12,190,0.00
2023-01-02T00:00,8.3,7.8,97,1008.7,0.60,100,8.0,0.417,9.2,0.405,8.4,0.386,10.4,0.331,1.08,304,0.00
2023-01-02T01:00,8.0,7.6,97,1008.5,0.80,100,8.1,0.424,9.1,0.406,8.4,0.386,10.4,0.331,1.49,290,0.00
2023-01-02T02:00,7.8,7.1,95,1009.2,0.30,100,8.0,0.422,9.0,0.407,8.4,0.386,10.4,0.331,3.16,252,0.00
2023-01-02T03:00,7.3,6.1,92,1009.8,0.00,100,7.8,0.418,8.9,0.408,8.4,0.386,10.4,0.331,3.19,238,0.00
2023-01-02T04:00,7.1,5.8,92,1010.1,0.00,100,7.5,0.415,8.8,0.408,8.4,0.386,10.4,0.331,3.36,233,0.00
2023-01-02T05:00,6.7,5.5,92,1010.7,0.00,100,7.2,0.413,8.7,0.408,8.4,0.386,10.4,0.331,3.89,224,0.00
2023-01-02T06:00,6.7,5.6,93,1011.1,0.00,100,7.0,0.411,8.5,0.408,8.4,0.386,10.4,0.331,3.89,226,0.00
2023-01-02T07:00,6.8,5.8,94,1011.9,0.00,100,7.0,0.410,8.4,0.408,8.4,0.386,10.4,0.331,3.74,236,0.00
2023-01-02T08:00,6.5,5.6,94,1012.9,0.00,100,6.8,0.408,8.3,0.408,8.4,0.386,10.4,0.331,3.71,243,0.00
2023-01-02T09:00,6.9,5.9,93,1013.9,0.00,100,6.9,0.407,8.2,0.408,8.4,0.386,10.4,0.331,3.81,256,0.00
2023-01-02T10:00,7.6,6.3,92,1015.0,0.00,70,7.3,0.406,8.1,0.408,8.4,0.386,10.4,0.331,4.10,271,0.00
2023-01-02T11:00,7.6,5.8,88,1015.8,0.00,74,7.6,0.405,8.1,0.407,8.4,0.387,10.4,0.331,4.18,287,3600.00
2023-01-02T12:00,7.9,5.7,86,1016.5,0.00,79,7.9,0.404,8.1,0.407,8.4,0.387,10.4,0.331,3.88,282,3600.00
2023-01-02T13:00,7.8,5.2,83,1017.3,0.00,33,8.1,0.402,8.1,0.407,8.4,0.387,10.4,0.331,3.86,280,3600.00
2023-01-02T14:00,7.7,4.6,81,1018.0,0.00,8,8.1,0.401,8.1,0.407,8.4,0.387,10.4,0.331,3.70,272,3600.00
2023-01-02T15:00,6.9,3.8,81,1018.9,0.00,0,7.8,0.401,8.1,0.406,8.4,0.387,10.4,0.331,3.11,266,3600.00
2023-01-02T16:00,5.0,3.0,87,1020.1,0.00,0,7.0,0.400,8.1,0.406,8.4,0.387,10.4,0.331,2.52,263,402.24
2023-01-02T17:00,3.9,2.4,90,1021.0,0.00,0,6.3,0.399,8.0,0.406,8.4,0.387,10.4,0.331,2.41,265,0.00
2023-01-02T18:00,3.2,2.0,92,1021.7,0.00,0,5.7,0.398,7.8,0.406,8.4,0.387,10.4,0.331,2.26,257,0.00
2023-01-02T19:00,2.7,1.6,92,1022.2,0.00,0,5.1,0.398,7.6,0.405,8.4,0.387,10.4,0.331,2.34,250,0.00
2023-01-02T20:00,2.3,1.3,93,1022.9,0.00,1,4.7,0.397,7.5,0.405,8.4,0.387,10.4,0.331,2.42,240,0.00
