latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.931458,-1.4464417,23.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),relative_humidity_2m (%),pressure_msl (hPa),precipitation (mm),cloud_cover (%),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_temperature_7_to_28cm (°C),soil_moisture_7_to_28cm (m³/m³),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),soil_temperature_100_to_255cm (°C),soil_moisture_100_to_255cm (m³/m³),wind_speed_10m (m/s),wind_direction_10m (°),sunshine_duration (s)
2023-01-01T00:00,11.4,9.1,85,1003.9,0.00,100,10.9,0.423,10.2,0.424,8.7,0.420,10.8,0.377,8.03,231,0.00
2023-01-01T01:00,10.8,7.8,82,1004.8,0.00,100,10.3,0.422,10.2,0.424,8.7,0.420,10.8,0.377,8.87,230,0.00
2023-01-01T02:00,10.7,6.9,78,1005.8,0.00,100,10.0,0.420,10.1,0.423,8.7,0.420,10.8,0.377,8.71,228,0.00
2023-01-01T03:00,10.6,6.9,78,1006.3,0.00,100,9.8,0.419,10.1,0.423,8.7,0.420,10.8,0.377,8.84,224,0.00
2023-01-01T04:00,10.1,7.3,83,1006.7,0.00,100,9.7,0.418,10.0,0.422,8.8,0.420,10.8,0.377,8.07,223,0.00
2023-01-01T05:00,10.3,6.7,78,1007.4,0.00,100,9.6,0.417,10.0,0.422,8.8,0.420,10.8,0.377,7.92,226,0.00
2023-01-01T06:00,10.4,6.6,77,1008.0,0.00,100,9.5,0.417,9.9,0.421,8.8,0.420,10.8,0.378,7.64,226,0.00
2023-01-01T07:00,10.5,5.7,72,1008.6,0.00,100,9.5,0.416,9.9,0.421,8.8,0.420,10.8,0.378,7.28,224,0.00
2023-01-01T08:00,10.5,5.6,72,1009.3,0.00,100,9.5,0.415,9.8,0.420,8.8,0.419,10.8,0.378,7.23,221,0.00
2023-01-01T09:00,10.8,6.3,74,1009.9,0.00,100,9.5,0.415,9.8,0.420,8.8,0.419,10.8,0.378,7.32,215,0.00
2023-01-01T10:00,11.2,7.1,76,1010.1,0.00,100,9.7,0.414,9.7,0.419,8.8,0.419,10.8,0.378,7.46,212,0.00
2023-01-01T11:00,11.5,7.6,77,1010.3,0.00,100,10.0,0.413,9.7,0.419,8.8,0.419,10.8,0.378,7.30,216,0.00
2023-01-01T12:00,11.4,8.1,80,1010.1,0.40,100,10.2,0.421,9.7,0.421,8.8,0.418,10.8,0.378,6.38,212,0.00
2023-01-01T13:00,11.2,8.0,80,1009.6,0.30,100,10.1,0.421,9.7,0.421,8.8,0.418,10.8,0.378,5.46,206,0.00
2023-01-01T14:00,11.0,8.7,86,1009.2,0.20,100,10.2,0.421,9.7,0.421,8.9,0.418,10.8,0.378,5.76,197,0.00
2023-01-01T15:00,10.7,8.6,87,1008.8,0.20,100,10.0,0.421,9.7,0.421,8.9,0.418,10.7,0.378,5.57,198,0.00
2023-01-01T16:00,9.9,8.0,88,1008.8,0.90,100,9.7,0.426,9.7,0.421,8.9,0.418,10.7,0.378,4.94,212,0.00
2023-01-01T17:00,9.5,8.0,90,1008.6,0.60,100,9.4,0.428,9.7,0.423,8.9,0.418,10.7,0.379,3.90,203,0.00
2023-01-01T18:00,9.2,8.0,92,1008.4,0.70,100,9.2,0.429,9.6,0.424,8.9,0.418,10.7,0.379,2.52,214,0.00
2023-01-01T19:00,9.1,8.1,94,1008.4,0.80,100,9.1,0.429,9.6,0.427,8.9,0.418,10.7,0.379,1.17,211,0.00
2023-01-01T20:00,8.9,8.1,95,1008.4,1.30,100,9.0,0.430,9.5,0.429,8.9,0.419,10.7,0.379,1.17,200,0.00
2023-01-01T21:00,8.9,8.1,94,1008.5,1.00,100,8.9,0.429,9.5,0.429,8.9,0.420,10.7,0.379,1.64,232,0.00
2023-01-01T22:00,8.7,7.8,94,1008.9,0.30,100,8.8,0.429,9.4,0.429,8.9,0.420,10.7,0.379,1.98,221,0.00
2023-01-01T23:00,8.5,7.4,93,1009.0,0.00,100,8.6,0.426,9.3,0.428,8.9,0.420,10.7,0.379,2.41,222,0.00
2023-01-02T00:00,7.8,6.4,91,1009.5,0.00,100,7.4,0.421,9.2,0.425,8.9,0.419,10.7,0.379,2.78,218,0.00
2023-01-02T01:00,7.5,6.5,93,1009.9,0.00,100,7.4,0.420,9.1,0.425,9.0,0.419,10.7,0.379,3.28,211,0.00
2023-01-02T02:00,8.4,7.0,91,1010.2,0.10,100,7.6,0.421,9.0,0.424,9.0,0.419,10.7,0.379,3.80,215,0.00
2023-01-02T03:00,8.1,6.8,92,1010.8,0.20,100,7.7,0.422,8.9,0.423,9.0,0.419,10.7,0.379,3.83,221,0.00
2023-01-02T04:00,7.5,6.5,93,1011.0,0.00,100,7.6,0.421,8.8,0.423,9.0,0.419,10.7,0.379,2.92,232,0.00
2023-01-02T05:00,7.4,6.4,94,1011.7,0.00,100,7.5,0.419,8.7,0.423,9.0,0.419,10.7,0.380,2.86,234,0.00
2023-01-02T06:00,7.0,6.1,94,1012.5,0.00,94,7.3,0.418,8.6,0.422,9.0,0.419,10.7,0.380,2.82,247,0.00
2023-01-02T07:00,6.5,5.6,94,1013.5,0.00,68,7.0,0.418,8.5,0.422,9.0,0.419,10.7,0.380,3.14,261,0.00
2023-01-02T08:00,5.8,5.0,94,1014.4,0.00,64,6.6,0.417,8.4,0.421,9.0,0.419,10.7,0.380,3.54,278,0.00
2023-01-02T09:00,5.5,4.8,96,1015.8,0.00,81,6.3,0.416,8.3,0.421,9.0,0.419,10.7,0.380,3.35,287,121.49
